Rank,EntryId,EntryName,EntryPoints,Player,Position,PercentDrafted,PlayerPoints,Pitcher1,Pitcher2,Catcher,FirstBase,SecondBase,ThirdBase,ShortStop,Outfield1,Outfield2,Outfield3,ContestDate,ContestName,ContestId,ContestFee,Winnings
1,1055370992,m3deman,166.8,George Springer,OF,50,9,Stephen Strasburg,Matt Shoemaker,Yan Gomes,Justin Smoak,Jose Altuve,Josh Donaldson,Carlos Correa,George Springer,Dee Gordon,Kevin Pillar,20180331,perfect_game,54847274,333,10000
2,1055557525,Awesemo,159.85,Jose Altuve,2B,49.41,18,Stephen Strasburg,Lance McCullers,Rene Rivera,Justin Smoak,Yangervis Solarte,Josh Donaldson,Zack Cozart,Mike Trout,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,6000
3,1055308529,MESBRO,156.6,James Paxton,P,43.53,0.5,Jacob deGrom,Stephen Strasburg,Travis d'Arnaud,Matt Adams,Asdrubal Cabrera,Todd Frazier,Yangervis Solarte,Yoenis Cespedes,Jay Bruce,Billy McKinney,20180331,perfect_game,54847274,333,4000
4,1055622114,DraftCheat,144.85,Justin Smoak,1B,42.35,15,Stephen Strasburg,Lance McCullers,Travis d'Arnaud,Justin Smoak,Jed Lowrie,Luis Valbuena,Carlos Correa,George Springer,Jose Martinez,Steve Pearce,20180331,perfect_game,54847274,333,2000
5,1055557529,Awesemo,144.75,Alex Bregman,3B,40,0,Jacob deGrom,Lance McCullers,Rene Rivera,Albert Pujols,Jed Lowrie,Luis Valbuena,Zack Cozart,Mike Trout,Matt Joyce,Stephen Piscotty,20180331,perfect_game,54847274,333,1500
6,1055554549,jd23vt,143.8,Luis Castillo,P,37.65,7.05,Stephen Strasburg,Daniel Mengden,Travis d'Arnaud,Matt Adams,Asdrubal Cabrera,Anthony Rendon,Trea Turner,Bryce Harper,Yoenis Cespedes,Jay Bruce,20180331,perfect_game,54847274,333,1250
7,1055624614,anilprao88,143.25,Gary Sanchez,C,36.47,0,Jacob deGrom,James Paxton,Matt Wieters,Tyler Austin,Neil Walker,Anthony Rendon,Didi Gregorius,Bryce Harper,Adam Eaton,Matt Adams,20180331,perfect_game,54847274,333,1250
8,1055313205,tastefultides,138.8,Carlos Correa,SS,35.29,29,Stephen Strasburg,Matt Shoemaker,Evan Gattis,Albert Pujols,Howie Kendrick,J.D. Davis,Carlos Correa,Mike Trout,Marwin Gonzalez,Randal Grichuk,20180331,perfect_game,54847274,333,1000
9,1055645050,extoneagles,138,Giancarlo Stanton,OF,32.94,7,Lance McCullers,Michael Fulmer,John Hicks,Matt Adams,Jose Altuve,Alex Bregman,Carlos Correa,Bryce Harper,George Springer,Brian Goodwin,20180331,perfect_game,54847274,333,1000
10,1055638611,TGus13,137.8,Evan Gattis,C,32.35,9,Jacob deGrom,Luis Castillo,Brian McCann,Tyler Austin,Scooter Gennett,Todd Frazier,Didi Gregorius,Mike Trout,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,1000
11,1055509306,1967spike,137.05,Jacob deGrom,P,31.76,25.75,Lance McCullers,Luis Castillo,Gary Sanchez,Tyler Austin,Jose Altuve,Todd Frazier,Carlos Correa,Aaron Judge,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,1000
11,1055653216,1967spike,137.05,Aaron Judge,OF,30,0,Lance McCullers,Luis Castillo,Gary Sanchez,Tyler Austin,Jose Altuve,Todd Frazier,Carlos Correa,Aaron Judge,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,750
13,1055583717,isupol,136.75,Stephen Strasburg,P,30,24.85,Jacob deGrom,Lance McCullers,Bruce Maxwell,Justin Smoak,Jed Lowrie,Josh Donaldson,Marcus Semien,Khris Davis,Randal Grichuk,Kevin Pillar,20180331,perfect_game,54847274,333,750
14,1055561823,sacamania,136.4,Steve Pearce,OF,27.06,2,Stephen Strasburg,Carlos Carrasco,Travis d'Arnaud,Justin Smoak,Yangervis Solarte,Josh Donaldson,Marwin Gonzalez,Giancarlo Stanton,Randal Grichuk,Kevin Pillar,20180331,perfect_game,54847274,333,750
15,1055598506,Bambam522812,135.55,Josh Donaldson,3B,25.88,9,Stephen Strasburg,Michael Wacha,Evan Gattis,Matt Adams,Jose Altuve,Alex Bregman,Carlos Correa,Howie Kendrick,Randal Grichuk,Jake Marisnick,20180331,perfect_game,54847274,333,750
16,1055408114,kingpuba33,134.7,Didi Gregorius,SS,23.53,5,Jacob deGrom,Matt Shoemaker,Matt Wieters,Adrian Gonzalez,Jose Altuve,Eugenio Suarez,Didi Gregorius,Yoenis Cespedes,Marwin Gonzalez,Howie Kendrick,20180331,perfect_game,54847274,333,750
17,1055313244,tastefultides,134.55,Neil Walker,2B,22.35,2,Stephen Strasburg,Michael Wacha,Matt Wieters,Matt Adams,Howie Kendrick,Josh Donaldson,Marwin Gonzalez,Bryce Harper,Adam Eaton,Randal Grichuk,20180331,perfect_game,54847274,333,750
18,1055518601,fjbourne,133.9,Marwin Gonzalez,SS,21.76,11,Stephen Strasburg,Luis Castillo,Evan Gattis,Justin Smoak,Jose Altuve,Josh Donaldson,Carlos Correa,George Springer,Marwin Gonzalez,Steve Pearce,20180331,perfect_game,54847274,333,600
19,1055367399,youdacao,133.8,Randal Grichuk,OF,21.76,5,Jacob deGrom,Luis Castillo,Gary Sanchez,Justin Smoak,Yangervis Solarte,Josh Donaldson,Zack Cozart,Mike Trout,Justin Upton,Randal Grichuk,20180331,perfect_game,54847274,333,600
19,1055558112,Jay2136,133.8,Matt Adams,1B,21.76,22,Stephen Strasburg,Matt Shoemaker,Travis d'Arnaud,Justin Smoak,Jose Altuve,Josh Donaldson,Marwin Gonzalez,Mike Trout,Aaron Judge,Billy McKinney,20180331,perfect_game,54847274,333,600
21,1055444516,Smoke22,132.8,Mike Trout,OF,20,26,Jacob deGrom,Luis Castillo,Evan Gattis,Matt Adams,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Justin Upton,Rajai Davis,20180331,perfect_game,54847274,333,600
22,1055557528,Awesemo,130.55,Michael Wacha,P,17.06,1.7,Carlos Carrasco,Lance McCullers,Evan Gattis,Justin Smoak,Jose Altuve,Josh Donaldson,Aledmys Diaz,Marwin Gonzalez,Randal Grichuk,Kevin Pillar,20180331,perfect_game,54847274,333,600
22,1055641827,cory585,130.55,Matt Olson,1B,15.29,6,Stephen Strasburg,Michael Wacha,Matt Wieters,Justin Smoak,Jose Altuve,Anthony Rendon,Yangervis Solarte,George Springer,Khris Davis,Matt Adams,20180331,perfect_game,54847274,333,600
24,1055541421,Dapokerninja,130.5,Carlos Carrasco,P,13.53,10.55,Lance McCullers,James Paxton,Travis d'Arnaud,Matt Adams,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Jay Bruce,Randal Grichuk,20180331,perfect_game,54847274,333,600
25,1055595822,marcf,129.6,Khris Davis,OF,12.94,14,Carlos Carrasco,Luis Castillo,Travis d'Arnaud,Adrian Gonzalez,Jose Altuve,Todd Frazier,Carlos Correa,George Springer,Yoenis Cespedes,Jay Bruce,20180331,perfect_game,54847274,333,600
26,1055486582,jaker1soe,128.75,Yangervis Solarte,2B,12.94,14,Jacob deGrom,Lance McCullers,Evan Gattis,Justin Smoak,Yangervis Solarte,Josh Donaldson,Marwin Gonzalez,George Springer,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,600
27,1055595543,bric75,128.25,J.D. Davis,3B,12.35,0,Jacob deGrom,James Paxton,Brian McCann,Matt Adams,Howie Kendrick,Alex Bregman,Carlos Correa,Joey Gallo,Marwin Gonzalez,Jake Marisnick,20180331,perfect_game,54847274,333,600
28,1055362276,ChipotleAddict,127.8,Lance McCullers Jr.,P,12.35,29,Jacob deGrom,Luis Castillo,Evan Gattis,Tyler Austin,Neil Walker,Alex Bregman,Carlos Correa,Giancarlo Stanton,Aaron Judge,Jake Marisnick,20180331,perfect_game,54847274,333,500
29,1055516378,Smoltzjr,127.55,Matt Joyce,OF,11.76,0,James Paxton,Luis Castillo,Evan Gattis,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Mike Trout,George Springer,Khris Davis,20180331,perfect_game,54847274,333,500
30,1055589693,clivebixby,126.8,Bryce Harper,OF,11.18,6,Jacob deGrom,Luis Castillo,Travis d'Arnaud,Adrian Gonzalez,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Marwin Gonzalez,Juan Lagares,20180331,perfect_game,54847274,333,500
31,1055310250,wakeywakey,125.8,Billy McKinney,OF,10,0,Jacob deGrom,Luis Castillo,Gary Sanchez,Albert Pujols,Yangervis Solarte,Josh Donaldson,Zack Cozart,Mike Trout,Justin Upton,Kole Calhoun,20180331,perfect_game,54847274,333,500
32,1055367395,youdacao,125.6,Joey Gallo,OF,8.24,0,Carlos Carrasco,Luis Castillo,Evan Gattis,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Mike Trout,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,500
32,1055651085,GrindersCal,125.6,Jed Lowrie,2B,8.24,7,Carlos Carrasco,Luis Castillo,Evan Gattis,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Mike Trout,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,500
34,1055331796,madoublet98,124.8,Zack Cozart,SS,7.06,23,Jacob deGrom,Luis Castillo,Evan Gattis,Justin Smoak,Neil Walker,Alex Bregman,Carlos Correa,Mike Trout,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,500
34,1055428414,LionKing1957,124.8,Brian McCann,C,7.06,14,Jacob deGrom,Luis Castillo,Evan Gattis,Justin Smoak,Neil Walker,Alex Bregman,Carlos Correa,Mike Trout,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,500
36,1055389659,moklovin,123.8,Tyler Austin,1B,6.47,30,Jacob deGrom,Luis Castillo,Evan Gattis,Justin Smoak,Jose Altuve,Josh Donaldson,Carlos Correa,George Springer,Matt Joyce,Steve Pearce,20180331,perfect_game,54847274,333,500
37,1055521916,monds6,123.6,Travis d'Arnaud,C,5.88,16,Jacob deGrom,Stephen Strasburg,Bruce Maxwell,Justin Smoak,Jose Altuve,Josh Donaldson,Yangervis Solarte,Stephen Piscotty,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,500
38,1055624617,anilprao88,122.2,Marcus Semien,SS,5.29,5,James Paxton,Michael Wacha,Brian McCann,Matt Adams,Howie Kendrick,Alex Bregman,Trea Turner,Bryce Harper,George Springer,Adam Eaton,20180331,perfect_game,54847274,333,500
39,1055557526,Awesemo,121.45,Justin Upton,OF,5.29,9,Jacob deGrom,Michael Wacha,Brian McCann,Justin Smoak,Yangervis Solarte,Alex Bregman,Carlos Correa,George Springer,Marwin Gonzalez,Steve Pearce,20180331,perfect_game,54847274,333,500
40,1055315374,felder15,120.8,Mike Marjama,C,5.29,0,Jacob deGrom,Luis Castillo,Evan Gattis,Justin Smoak,Neil Walker,Alex Bregman,Carlos Correa,Aaron Judge,George Springer,Kevin Pillar,20180331,perfect_game,54847274,333,500
41,1055583740,isupol,120.6,Kole Calhoun,OF,5.29,0,Jacob deGrom,Stephen Strasburg,Bruce Maxwell,Justin Smoak,Jed Lowrie,Josh Donaldson,Marcus Semien,Randal Grichuk,Kevin Pillar,Steve Pearce,20180331,perfect_game,54847274,333,500
42,1055625455,BigT44,119.8,Anthony Rendon,3B,5.29,5,Jacob deGrom,Luis Castillo,Evan Gattis,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,500
43,1055311369,ejs39861,119.55,Matt Shoemaker,P,4.71,13.95,James Paxton,Luis Castillo,Evan Gattis,Albert Pujols,Jose Altuve,Alex Bregman,Carlos Correa,Mike Trout,George Springer,Justin Upton,20180331,perfect_game,54847274,333,500
44,1055510369,davewiff,118.25,Howie Kendrick,2B,4.71,8,Jacob deGrom,James Paxton,Evan Gattis,Justin Smoak,Yangervis Solarte,Josh Donaldson,Carlos Correa,George Springer,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,500
45,1055310251,wakeywakey,118.05,Kevin Pillar,OF,4.71,24,Carlos Carrasco,James Paxton,Evan Gattis,Matt Adams,Neil Walker,Anthony Rendon,Trea Turner,Bryce Harper,Adam Eaton,Steve Pearce,20180331,perfect_game,54847274,333,500
46,1055452781,theOGking_tay,117.9,Jake Marisnick,OF,4.71,18,Stephen Strasburg,Luis Castillo,Gary Sanchez,Matt Olson,Jose Altuve,Josh Donaldson,Marwin Gonzalez,Aaron Judge,Jake Marisnick,Kevin Pillar,20180331,perfect_game,54847274,333,500
47,1055609293,DraftCheat,117.8,Brandon Drury,3B,4.12,4,Stephen Strasburg,Matt Shoemaker,Brian McCann,Justin Smoak,Jose Altuve,Alex Bregman,Marwin Gonzalez,George Springer,Jose Martinez,Steve Pearce,20180331,perfect_game,54847274,333,500
47,1055648630,no1cdib,117.8,Jay Bruce,OF,3.53,2,Stephen Strasburg,Daniel Mengden,Evan Gattis,Matt Olson,Jose Altuve,J.D. Davis,Carlos Correa,George Springer,Khris Davis,Billy McKinney,20180331,perfect_game,54847274,333,500
49,1055602537,Dinkpiece,116.5,Todd Frazier,3B,3.53,13,Lance McCullers,James Paxton,Evan Gattis,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,500
50,1055363733,bcassidy13,115.6,Albert Pujols,1B,3.53,12,Carlos Carrasco,Luis Castillo,Travis d'Arnaud,Justin Smoak,Jose Altuve,Alex Bregman,Didi Gregorius,Mike Trout,George Springer,Justin Upton,20180331,perfect_game,54847274,333,500
51,1055367397,youdacao,115.25,Trea Turner,SS,3.53,21,Jacob deGrom,James Paxton,Evan Gattis,Justin Smoak,Jose Altuve,Alex Bregman,Yangervis Solarte,Mike Trout,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
51,1055645107,PetrGibbons,115.25,Adam Eaton,OF,3.53,40,Jacob deGrom,James Paxton,Evan Gattis,Justin Smoak,Neil Walker,Josh Donaldson,Yangervis Solarte,Mike Trout,George Springer,Randal Grichuk,20180331,perfect_game,54847274,333,0
53,1055431832,Sqweatybalz,115.1,Scooter Gennett,2B,3.53,8,CC Sabathia,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,Mike Trout,Aaron Judge,20180331,perfect_game,54847274,333,0
54,1055521918,monds6,114.9,Matt Wieters,C,3.53,7,Stephen Strasburg,Luis Castillo,Bruce Maxwell,Matt Olson,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Matt Joyce,Jake Marisnick,20180331,perfect_game,54847274,333,0
55,1055416564,mw0315,114.8,Elvis Andrus,SS,3.53,23,Jacob deGrom,Luis Castillo,Evan Gattis,Justin Smoak,Jose Altuve,Alex Bregman,Elvis Andrus,George Springer,Joey Gallo,Nomar Mazara,20180331,perfect_game,54847274,333,0
55,1055648906,bw5126,114.8,CC Sabathia,P,3.53,13.05,Jacob deGrom,Luis Castillo,Gary Sanchez,Matt Adams,Jose Altuve,Brandon Drury,Didi Gregorius,Giancarlo Stanton,Mike Trout,Billy McKinney,20180331,perfect_game,54847274,333,0
57,1055434029,Duncaroo,114.6,Luis Valbuena,1B,2.94,3,Jacob deGrom,Stephen Strasburg,Mike Marjama,Justin Smoak,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,Nomar Mazara,Randal Grichuk,20180331,perfect_game,54847274,333,0
58,1055589289,camv22,113.65,Yoenis Cespedes,OF,2.94,22,Michael Wacha,Matt Shoemaker,Evan Gattis,Matt Adams,Jose Altuve,Brandon Drury,Carlos Correa,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
59,1055529650,Quahogs,111.9,Michael Fulmer,P,2.94,0,Stephen Strasburg,Luis Castillo,Evan Gattis,Jose Martinez,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Matt Joyce,Randal Grichuk,20180331,perfect_game,54847274,333,0
60,1055520520,giantsquid,111.05,Miguel Cabrera,1B,2.94,0,James Paxton,Marco Estrada,Evan Gattis,Matt Adams,Jose Altuve,Alex Bregman,Marwin Gonzalez,Bryce Harper,Mike Trout,George Springer,20180331,perfect_game,54847274,333,0
61,1055595542,bric75,110.9,Bruce Maxwell,C,2.94,3,Stephen Strasburg,Luis Castillo,Gary Sanchez,Tyler Austin,Neil Walker,Adrian Beltre,Didi Gregorius,Mike Trout,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
62,1055401807,jontlevy,110.55,Aledmys Diaz,SS,2.35,0,James Paxton,Luis Castillo,Gary Sanchez,Albert Pujols,Jose Altuve,J.D. Davis,Carlos Correa,Mike Trout,George Springer,Justin Upton,20180331,perfect_game,54847274,333,0
63,1055607085,Stonesalltheway,110.25,Jose Martinez,1B,2.35,10,Jacob deGrom,James Paxton,Evan Gattis,Justin Smoak,Jose Altuve,J.D. Davis,Marwin Gonzalez,George Springer,Matt Joyce,Matt Adams,20180331,perfect_game,54847274,333,0
64,1055495377,thepickler,109.55,Leonys Martin,OF,2.35,0,James Paxton,Luis Castillo,Evan Gattis,Tyler Austin,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
65,1055362275,ChipotleAddict,109.25,John Hicks,C,2.35,0,Jacob deGrom,James Paxton,Evan Gattis,Justin Smoak,Yangervis Solarte,Alex Bregman,Carlos Correa,George Springer,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
66,1055302399,Ebonwraith,108.35,Tommy Pham,OF,2.35,7,Stephen Strasburg,James Paxton,Mike Marjama,Matt Adams,Jose Altuve,Josh Donaldson,Yangervis Solarte,Bryce Harper,George Springer,Randal Grichuk,20180331,perfect_game,54847274,333,0
67,1055581967,wilson1,107.8,Joey Votto,1B,1.76,5,Jacob deGrom,Luis Castillo,Evan Gattis,Justin Smoak,Neil Walker,Alex Bregman,Carlos Correa,George Springer,Joey Gallo,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
68,1055626439,Kmilk2,106.55,Juan Centeno,C,1.76,0,James Paxton,Luis Castillo,Gary Sanchez,Matt Olson,Jose Altuve,J.D. Davis,Carlos Correa,Mike Trout,George Springer,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
69,1055583682,isupol,105.75,Dee Gordon,OF,1.76,8,Jacob deGrom,Lance McCullers,Bruce Maxwell,Matt Olson,Jed Lowrie,Josh Donaldson,Marcus Semien,Khris Davis,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
70,1055410846,felder15,105.7,Adrian Beltre,3B,1.76,7,Lance McCullers,Michael Wacha,Gary Sanchez,Justin Smoak,Neil Walker,Brandon Drury,Zack Cozart,Giancarlo Stanton,Aaron Judge,Kevin Pillar,20180331,perfect_game,54847274,333,0
71,1055642923,devo1099,105.55,Jose Ramirez,3B,1.76,0,James Paxton,Luis Castillo,Evan Gattis,Joey Votto,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,George Springer,Scott Schebler,20180331,perfect_game,54847274,333,0
72,1055595541,bric75,105.25,Adrian Gonzalez,1B,1.76,3,Jacob deGrom,James Paxton,Evan Gattis,Justin Smoak,Jose Altuve,Josh Donaldson,Yangervis Solarte,Giancarlo Stanton,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
73,1055510276,davewiff,104.9,Nomar Mazara,OF,1.76,8,Stephen Strasburg,Luis Castillo,Evan Gattis,Matt Olson,Neil Walker,Alex Bregman,Carlos Correa,George Springer,Joey Gallo,Jake Marisnick,20180331,perfect_game,54847274,333,0
74,1055617619,Tiii,104.85,Jeimer Candelario,3B,1.76,0,Stephen Strasburg,Michael Fulmer,John Hicks,Justin Smoak,Jose Altuve,Josh Donaldson,Marcus Semien,George Springer,Yoenis Cespedes,Steve Pearce,20180331,perfect_game,54847274,333,0
75,1055327346,thepickler,104.75,Daniel Mengden,P,1.76,7.95,Michael Wacha,Luis Castillo,Evan Gattis,Justin Smoak,Jose Altuve,Josh Donaldson,Carlos Correa,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
76,1055310252,wakeywakey,104.55,Asdrubal Cabrera,2B,1.18,17,James Paxton,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Mike Trout,George Springer,Joey Gallo,20180331,perfect_game,54847274,333,0
77,1055504599,davewiff,104.35,Dixon Machado,2B,1.18,0,Stephen Strasburg,James Paxton,Matt Wieters,Justin Smoak,Yangervis Solarte,Josh Donaldson,Trea Turner,Bryce Harper,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
78,1055362279,ChipotleAddict,103.35,Yan Gomes,C,1.18,16,Stephen Strasburg,James Paxton,Brian McCann,Tyler Austin,Neil Walker,Alex Bregman,Didi Gregorius,Aaron Judge,George Springer,Jake Marisnick,20180331,perfect_game,54847274,333,0
78,1055643205,mrgoodseats,103.35,Ian Kinsler,2B,1.18,0,Stephen Strasburg,James Paxton,Mike Marjama,Justin Smoak,Jose Altuve,Alex Bregman,Elvis Andrus,George Springer,Marwin Gonzalez,Steve Pearce,20180331,perfect_game,54847274,333,0
80,1055521917,monds6,103.3,Shin-soo Choo,OF,1.18,2,Jacob deGrom,Carlos Carrasco,Brian McCann,Matt Olson,Yangervis Solarte,Matt Chapman,Marcus Semien,Khris Davis,Matt Joyce,Steve Pearce,20180331,perfect_game,54847274,333,0
81,1055270798,dandydon,102.6,Kyle Seager,3B,1.18,0,Carlos Carrasco,Luis Castillo,Evan Gattis,Luis Valbuena,Jose Altuve,Alex Bregman,Marwin Gonzalez,Mike Trout,George Springer,Justin Upton,20180331,perfect_game,54847274,333,0
82,1055333395,Wieties49,102.55,Rajai Davis,OF,1.18,4,James Paxton,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,Mike Trout,Matt Joyce,20180331,perfect_game,54847274,333,0
