Rank,EntryId,EntryName,EntryPoints,Player,Position,PercentDrafted,PlayerPoints,Pitcher1,Pitcher2,Catcher,FirstBase,SecondBase,ThirdBase,ShortStop,Outfield1,Outfield2,Outfield3,ContestDate,ContestName,ContestId,ContestFee,Winnings
83,1055471453,brpunkrmax,102.05,Stephen Piscotty,OF,1.18,7,Lance McCullers,Luis Castillo,Gary Sanchez,Luis Valbuena,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,George Springer,Billy McKinney,20180331,perfect_game,54847274,333,0
84,1055624618,anilprao88,100.8,Matt Chapman,3B,1.18,12,Jacob deGrom,Luis Castillo,Evan Gattis,Tyler Austin,Neil Walker,J.D. Davis,Marwin Gonzalez,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
85,1055362277,ChipotleAddict,100.55,Adam Frazier,2B,1.18,0,James Paxton,Luis Castillo,Gary Sanchez,Tyler Austin,Jose Altuve,J.D. Davis,Carlos Correa,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
86,1055608561,Moogie,99.85,Dexter Fowler,OF,1.18,0,Stephen Strasburg,Trevor Williams,Matt Wieters,Matt Adams,Jose Altuve,Alex Bregman,Marwin Gonzalez,Bryce Harper,George Springer,Jay Bruce,20180331,perfect_game,54847274,333,0
87,1055389661,moklovin,99.8,Rene Rivera,C,1.18,12,Jacob deGrom,Luis Castillo,Gary Sanchez,Joey Gallo,Ian Kinsler,Adrian Beltre,Elvis Andrus,Mike Trout,Justin Upton,Shin-soo Choo,20180331,perfect_game,54847274,333,0
87,1055521914,monds6,99.8,Nicholas Castellanos,OF,1.18,0,Jacob deGrom,Luis Castillo,Evan Gattis,Matt Olson,Jose Altuve,J.D. Davis,Aledmys Diaz,George Springer,Khris Davis,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
89,1055313241,tastefultides,99.6,Corey Dickerson,OF,1.18,0,Jacob deGrom,Stephen Strasburg,Juan Centeno,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Marwin Gonzalez,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
90,1055645049,extoneagles,99,Rougned Odor,2B,0.59,0,Lance McCullers,Michael Fulmer,Yan Gomes,Matt Adams,Jose Altuve,Jose Ramirez,Francisco Lindor,Giancarlo Stanton,Aaron Judge,Rajai Davis,20180331,perfect_game,54847274,333,0
91,1055431348,Moogie,98.55,Eugenio Suarez,3B,0.59,21,James Paxton,CC Sabathia,Evan Gattis,Albert Pujols,Jose Altuve,Josh Donaldson,Trea Turner,Giancarlo Stanton,George Springer,Kole Calhoun,20180331,perfect_game,54847274,333,0
92,1055308759,EmpireMaker2,98.45,Nelson Cruz,OF,0.59,16,Jacob deGrom,Michael Wacha,Evan Gattis,Justin Smoak,Neil Walker,Alex Bregman,Carlos Correa,George Springer,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
93,1055643208,mrgoodseats,98.35,Robinson Cano,2B,0.59,15,Stephen Strasburg,James Paxton,Mike Marjama,Justin Smoak,Jose Altuve,Alex Bregman,Elvis Andrus,George Springer,Dee Gordon,Matt Joyce,20180331,perfect_game,54847274,333,0
94,1055326153,Biesterfield,98.2,Jean Segura,SS,0.59,5,James Paxton,Michael Wacha,Evan Gattis,Matt Adams,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,0
95,1055399107,freddieprincstyl,98,Marco Estrada,P,0.59,9.55,Matt Shoemaker,CC Sabathia,Brian McCann,Justin Smoak,Howie Kendrick,Jose Ramirez,Trea Turner,Giancarlo Stanton,Bryce Harper,Aaron Judge,20180331,perfect_game,54847274,333,0
96,1055511035,BFER14,97.5,Jordy Mercer,SS,0.59,0,Lance McCullers,James Paxton,Gary Sanchez,Matt Olson,Jed Lowrie,J.D. Davis,Carlos Correa,Mike Trout,Kole Calhoun,Matt Joyce,20180331,perfect_game,54847274,333,0
97,1055483258,crump11,97.35,Adam Duvall,OF,0.59,18,Stephen Strasburg,James Paxton,Brian McCann,Matt Olson,Jed Lowrie,J.D. Davis,Didi Gregorius,Mike Trout,Khris Davis,Matt Joyce,20180331,perfect_game,54847274,333,0
98,1055559925,HeHaithMe,97.25,Starling Marte,OF,0.59,0,Jacob deGrom,James Paxton,Evan Gattis,Justin Smoak,Neil Walker,Josh Donaldson,Carlos Correa,Aaron Judge,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
99,1055567289,halliam1114,97.2,Josh Harrison,2B,0.59,0,James Paxton,Michael Wacha,Evan Gattis,Matt Olson,Howie Kendrick,Alex Bregman,Zack Cozart,Mike Trout,Justin Upton,Khris Davis,20180331,perfect_game,54847274,333,0
100,1055364860,thepickler,96.55,Francisco Cervelli,C,0.59,0,James Paxton,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Mike Trout,George Springer,20180331,perfect_game,54847274,333,0
101,1055644236,eck2b,95.35,Juan Lagares,OF,0.59,8,Stephen Strasburg,James Paxton,Evan Gattis,Matt Adams,Jose Altuve,J.D. Davis,Didi Gregorius,George Springer,Tommy Pham,Leonys Martin,20180331,perfect_game,54847274,333,0
101,1055653987,bigsam92,95.35,Marcell Ozuna,OF,0.59,0,Stephen Strasburg,James Paxton,Evan Gattis,Matt Adams,Jose Altuve,J.D. Davis,Didi Gregorius,George Springer,Tommy Pham,Leonys Martin,20180331,perfect_game,54847274,333,0
103,1055424412,sirmalcolm,95.25,Matt Carpenter,1B,0.59,14,Jacob deGrom,James Paxton,Evan Gattis,Matt Adams,Jose Altuve,Alex Bregman,Marwin Gonzalez,George Springer,Matt Joyce,Billy McKinney,20180331,perfect_game,54847274,333,0
104,1055316014,felder15,94.85,Trevor Williams,P,0.59,0,Stephen Strasburg,Lance McCullers,Gary Sanchez,Matt Olson,Jed Lowrie,Brandon Drury,Marcus Semien,Khris Davis,Randal Grichuk,Billy McKinney,20180331,perfect_game,54847274,333,0
105,1055485965,sacamania,94.4,Josh Bell,1B,0.59,0,Stephen Strasburg,Carlos Carrasco,Travis d'Arnaud,Matt Olson,Jed Lowrie,Josh Donaldson,Marcus Semien,Khris Davis,Matt Joyce,Steve Pearce,20180331,perfect_game,54847274,333,0
106,1055547878,loveai,93.7,Andrelton Simmons,SS,0.59,5,Michael Wacha,Michael Fulmer,Evan Gattis,Joey Votto,Jose Altuve,Anthony Rendon,Carlos Correa,Mike Trout,Kole Calhoun,Dexter Fowler,20180331,perfect_game,54847274,333,0
107,1055645053,extoneagles,93.05,Scott Schebler,OF,0.59,21,Lance McCullers,CC Sabathia,Evan Gattis,Matt Adams,Neil Walker,Alex Bregman,Didi Gregorius,Giancarlo Stanton,Bryce Harper,Aaron Judge,20180331,perfect_game,54847274,333,0
108,1055557527,Awesemo,92.25,Francisco Lindor,SS,0.59,3,Carlos Carrasco,Michael Wacha,Brian McCann,Joey Gallo,Jose Altuve,J.D. Davis,Carlos Correa,George Springer,Nomar Mazara,Shin-soo Choo,20180331,perfect_game,54847274,333,0
109,1055313231,tastefultides,90.35,Brian Goodwin,OF,0.59,25,Stephen Strasburg,James Paxton,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Randal Grichuk,Matt Adams,20180331,perfect_game,54847274,333,0
110,1055270797,dandydon,89.6,NA,NA,0,0,Carlos Carrasco,Luis Castillo,Evan Gattis,Matt Olson,Jose Altuve,Alex Bregman,Marcus Semien,George Springer,Khris Davis,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
111,1055314202,knickgilman,89.55,NA,NA,0,0,James Paxton,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Aaron Judge,George Springer,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
111,1055636476,stlcardinals84,89.55,NA,NA,0,0,James Paxton,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Aaron Judge,George Springer,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
113,1055642813,NateGreat28,89.4,NA,NA,0,0,Stephen Strasburg,Carlos Carrasco,Juan Centeno,Joey Gallo,Neil Walker,J.D. Davis,Elvis Andrus,Giancarlo Stanton,Kole Calhoun,Matt Adams,20180331,perfect_game,54847274,333,0
114,1055581590,Stonesalltheway,89.25,NA,NA,0,0,Jacob deGrom,James Paxton,Evan Gattis,Matt Olson,Jed Lowrie,Alex Bregman,Marcus Semien,Khris Davis,Matt Joyce,Matt Adams,20180331,perfect_game,54847274,333,0
115,1055372409,reztes757,89.2,NA,NA,0,0,James Paxton,Michael Wacha,Evan Gattis,Matt Olson,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Khris Davis,Steve Pearce,20180331,perfect_game,54847274,333,0
115,1055405392,TBAP,89.2,NA,NA,0,0,James Paxton,Michael Wacha,Gary Sanchez,Matt Adams,Neil Walker,Anthony Rendon,Didi Gregorius,Giancarlo Stanton,Bryce Harper,Adam Eaton,20180331,perfect_game,54847274,333,0
115,1055624616,anilprao88,89.2,NA,NA,0,0,James Paxton,Michael Wacha,Gary Sanchez,Matt Adams,Neil Walker,Anthony Rendon,Didi Gregorius,Giancarlo Stanton,Bryce Harper,Adam Eaton,20180331,perfect_game,54847274,333,0
118,1055367396,youdacao,88.25,NA,NA,0,0,Jacob deGrom,James Paxton,Gary Sanchez,Tyler Austin,Neil Walker,Alex Bregman,Yangervis Solarte,Giancarlo Stanton,George Springer,Billy McKinney,20180331,perfect_game,54847274,333,0
119,1055608329,Signature,86.7,NA,NA,0,0,Lance McCullers,Michael Wacha,Gary Sanchez,Matt Olson,Jose Altuve,Alex Bregman,Zack Cozart,George Springer,Matt Joyce,Billy McKinney,20180331,perfect_game,54847274,333,0
120,1055643209,mrgoodseats,86.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Mike Marjama,Justin Smoak,Jose Altuve,Alex Bregman,Marwin Gonzalez,George Springer,Dee Gordon,Matt Joyce,20180331,perfect_game,54847274,333,0
121,1055558952,cohenspicks,86.2,NA,NA,0,0,James Paxton,Michael Wacha,Gary Sanchez,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Marwin Gonzalez,Steve Pearce,20180331,perfect_game,54847274,333,0
122,1055608227,getoffme2312,84.8,NA,NA,0,0,Jacob deGrom,Luis Castillo,Evan Gattis,Matt Olson,Jose Altuve,Alex Bregman,Didi Gregorius,Giancarlo Stanton,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
123,1055270796,dandydon,84.6,NA,NA,0,0,Carlos Carrasco,Luis Castillo,Evan Gattis,Matt Olson,Jose Altuve,Alex Bregman,Marwin Gonzalez,George Springer,Khris Davis,Matt Joyce,20180331,perfect_game,54847274,333,0
124,1055326490,ebeimfohr,84.55,NA,NA,0,0,James Paxton,Luis Castillo,Gary Sanchez,Luis Valbuena,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,George Springer,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
125,1055645917,BFER14,84.5,NA,NA,0,0,Lance McCullers,James Paxton,Gary Sanchez,Matt Olson,Ian Kinsler,J.D. Davis,Zack Cozart,Mike Trout,Kole Calhoun,Matt Joyce,20180331,perfect_game,54847274,333,0
126,1055541623,ShortMyOwnTeam,83.55,NA,NA,0,0,James Paxton,Luis Castillo,Gary Sanchez,Matt Olson,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Khris Davis,Kole Calhoun,20180331,perfect_game,54847274,333,0
126,1055541635,ShortMyOwnTeam,83.55,NA,NA,0,0,James Paxton,Luis Castillo,Gary Sanchez,Matt Olson,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Khris Davis,Kole Calhoun,20180331,perfect_game,54847274,333,0
128,1055341531,yankeesfan2,83.45,NA,NA,0,0,Jacob deGrom,Michael Wacha,Gary Sanchez,Matt Adams,Dixon Machado,Brandon Drury,Elvis Andrus,Giancarlo Stanton,Aaron Judge,Billy McKinney,20180331,perfect_game,54847274,333,0
129,1055320276,dacoltz,83.25,NA,NA,0,0,Jacob deGrom,James Paxton,Brian McCann,Joey Gallo,Rougned Odor,Alex Bregman,Marwin Gonzalez,George Springer,Randal Grichuk,Jake Marisnick,20180331,perfect_game,54847274,333,0
129,1055558172,leonem,83.25,NA,NA,0,0,Jacob deGrom,James Paxton,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Carlos Correa,Aaron Judge,Steve Pearce,Billy McKinney,20180331,perfect_game,54847274,333,0
131,1055331921,rdk5042,82.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Mike Marjama,Matt Adams,Jose Altuve,Alex Bregman,Aledmys Diaz,Bryce Harper,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,0
132,1055389660,moklovin,81.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Brian McCann,Matt Adams,Neil Walker,Alex Bregman,Marwin Gonzalez,Giancarlo Stanton,Aaron Judge,Billy McKinney,20180331,perfect_game,54847274,333,0
133,1055645168,GrindersCal,80.6,NA,NA,0,0,Jacob deGrom,Stephen Strasburg,Mike Marjama,Miguel Cabrera,Yangervis Solarte,Josh Donaldson,Aledmys Diaz,Corey Dickerson,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
134,1055360797,thegameOVER,80.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Gary Sanchez,Justin Smoak,Neil Walker,Brandon Drury,Didi Gregorius,Giancarlo Stanton,Kole Calhoun,Matt Adams,20180331,perfect_game,54847274,333,0
134,1055643206,mrgoodseats,80.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Mike Marjama,Justin Smoak,Jose Altuve,Alex Bregman,Marwin Gonzalez,George Springer,Joey Gallo,Steve Pearce,20180331,perfect_game,54847274,333,0
136,1055575248,Bianchibear03,78.8,NA,NA,0,0,Jacob deGrom,Luis Castillo,Gary Sanchez,Justin Smoak,Scooter Gennett,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Steve Pearce,20180331,perfect_game,54847274,333,0
137,1055643207,mrgoodseats,77.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Mike Marjama,Joey Gallo,Jose Altuve,Alex Bregman,Zack Cozart,George Springer,Matt Joyce,Steve Pearce,20180331,perfect_game,54847274,333,0
138,1055394734,adambrown24,76.55,NA,NA,0,0,James Paxton,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Kyle Seager,Carlos Correa,Giancarlo Stanton,Aaron Judge,Joey Gallo,20180331,perfect_game,54847274,333,0
139,1055494794,etphonehome,75.8,NA,NA,0,0,Jacob deGrom,Luis Castillo,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Randal Grichuk,20180331,perfect_game,54847274,333,0
139,1055510315,davewiff,75.8,NA,NA,0,0,Jacob deGrom,Luis Castillo,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Randal Grichuk,20180331,perfect_game,54847274,333,0
139,1055521915,monds6,75.8,NA,NA,0,0,Jacob deGrom,Luis Castillo,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Randal Grichuk,20180331,perfect_game,54847274,333,0
139,1055595544,bric75,75.8,NA,NA,0,0,Jacob deGrom,Luis Castillo,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Randal Grichuk,20180331,perfect_game,54847274,333,0
143,1055645051,extoneagles,75.75,NA,NA,0,0,Michael Wacha,CC Sabathia,Gary Sanchez,Matt Adams,Jose Altuve,Alex Bregman,Didi Gregorius,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
144,1055367398,youdacao,75.6,NA,NA,0,0,Carlos Carrasco,Luis Castillo,Gary Sanchez,Joey Gallo,Neil Walker,J.D. Davis,Carlos Correa,Giancarlo Stanton,George Springer,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
145,1055483226,crump11,75.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Evan Gattis,Matt Olson,Jed Lowrie,J.D. Davis,Didi Gregorius,George Springer,Khris Davis,Matt Joyce,20180331,perfect_game,54847274,333,0
146,1055637314,elstan11,73.05,NA,NA,0,0,Carlos Carrasco,James Paxton,Gary Sanchez,Miguel Cabrera,Scooter Gennett,Josh Donaldson,Didi Gregorius,Mike Trout,Khris Davis,Billy McKinney,20180331,perfect_game,54847274,333,0
147,1055548373,tomo73,71.6,NA,NA,0,0,Carlos Carrasco,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Ramirez,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Adam Duvall,20180331,perfect_game,54847274,333,0
148,1055362278,ChipotleAddict,71.25,NA,NA,0,0,Jacob deGrom,James Paxton,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
149,1055638421,Blitztomania,70.55,NA,NA,0,0,James Paxton,Luis Castillo,Gary Sanchez,John Hicks,Jose Altuve,J.D. Davis,Carlos Correa,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
150,1055632701,Boney10690,70.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Gary Sanchez,Matt Adams,Neil Walker,Alex Bregman,Yangervis Solarte,Giancarlo Stanton,Aaron Judge,Billy McKinney,20180331,perfect_game,54847274,333,0
151,1055593031,mazwa,70.05,NA,NA,0,0,Carlos Carrasco,James Paxton,Evan Gattis,Matt Carpenter,Jose Altuve,Alex Bregman,Marwin Gonzalez,Marcell Ozuna,Tommy Pham,Dexter Fowler,20180331,perfect_game,54847274,333,0
152,1055516478,jlavelle,69.55,NA,NA,0,0,Stephen Strasburg,Michael Wacha,Gary Sanchez,Matt Adams,Jed Lowrie,J.D. Davis,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Steve Pearce,20180331,perfect_game,54847274,333,0
153,1055407191,ARaven52,68.75,NA,NA,0,0,Michael Wacha,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Bryce Harper,Aaron Judge,20180331,perfect_game,54847274,333,0
154,1055613719,Signature,67.5,NA,NA,0,0,Lance McCullers,James Paxton,Gary Sanchez,Matt Olson,Neil Walker,J.D. Davis,Zack Cozart,Giancarlo Stanton,Aaron Judge,Billy McKinney,20180331,perfect_game,54847274,333,0
155,1055483198,crump11,66.35,NA,NA,0,0,Stephen Strasburg,James Paxton,Evan Gattis,Matt Olson,Jed Lowrie,J.D. Davis,Didi Gregorius,Aaron Judge,Khris Davis,Matt Joyce,20180331,perfect_game,54847274,333,0
156,1055310933,EMSBRO,65.55,NA,NA,0,0,James Paxton,Luis Castillo,Gary Sanchez,Joey Votto,Neil Walker,Todd Frazier,Didi Gregorius,Giancarlo Stanton,Mike Trout,Aaron Judge,20180331,perfect_game,54847274,333,0
157,1055621565,atnorac,64.25,NA,NA,0,0,Carlos Carrasco,Michael Wacha,Gary Sanchez,Justin Smoak,Jed Lowrie,Alex Bregman,Zack Cozart,Aaron Judge,Tommy Pham,Adam Frazier,20180331,perfect_game,54847274,333,0
158,1055522600,Hamre,63.4,NA,NA,0,0,Stephen Strasburg,Carlos Carrasco,John Hicks,Justin Smoak,Adam Frazier,Jeimer Candelario,Jordy Mercer,Jay Bruce,Marwin Gonzalez,Leonys Martin,20180331,perfect_game,54847274,333,0
159,1055283516,bigdshaggyj,63.05,NA,NA,0,0,Carlos Carrasco,James Paxton,Gary Sanchez,Justin Smoak,Yangervis Solarte,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Steve Pearce,20180331,perfect_game,54847274,333,0
160,1055405579,jsurab,62.75,NA,NA,0,0,Michael Wacha,Luis Castillo,Gary Sanchez,Jose Martinez,Jose Altuve,Alex Bregman,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Khris Davis,20180331,perfect_game,54847274,333,0
161,1055370641,thepickler,62.5,NA,NA,0,0,Carlos Carrasco,Matt Shoemaker,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Joey Gallo,20180331,perfect_game,54847274,333,0
162,1055645052,extoneagles,60.55,NA,NA,0,0,James Paxton,CC Sabathia,Gary Sanchez,Matt Adams,Neil Walker,Anthony Rendon,Didi Gregorius,Giancarlo Stanton,Bryce Harper,Aaron Judge,20180331,perfect_game,54847274,333,0
163,1055624615,anilprao88,60.05,NA,NA,0,0,Carlos Carrasco,James Paxton,Gary Sanchez,Justin Smoak,Neil Walker,Josh Donaldson,Yangervis Solarte,Giancarlo Stanton,Aaron Judge,Steve Pearce,20180331,perfect_game,54847274,333,0
164,1055531743,thepickler,58.2,NA,NA,0,0,James Paxton,Michael Wacha,Gary Sanchez,Justin Smoak,Jose Altuve,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Steve Pearce,20180331,perfect_game,54847274,333,0
165,1055567492,chichi19,54.9,NA,NA,0,0,Stephen Strasburg,Luis Castillo,Francisco Cervelli,Miguel Cabrera,Josh Harrison,Jeimer Candelario,Zack Cozart,Starling Marte,Nicholas Castellanos,Corey Dickerson,20180331,perfect_game,54847274,333,0
166,1055543500,Grandpaaj23,54.65,NA,NA,0,0,Michael Wacha,Daniel Mengden,Gary Sanchez,Matt Olson,Scooter Gennett,Anthony Rendon,Didi Gregorius,Giancarlo Stanton,Aaron Judge,Khris Davis,20180331,perfect_game,54847274,333,0
167,1055600058,bbates1984,52.6,NA,NA,0,0,Jacob deGrom,Stephen Strasburg,Juan Centeno,Miguel Cabrera,Neil Walker,Jeimer Candelario,Dixon Machado,Nicholas Castellanos,Leonys Martin,Billy McKinney,20180331,perfect_game,54847274,333,0
168,1055313226,tastefultides,47.2,NA,NA,0,0,James Paxton,Michael Wacha,Gary Sanchez,Justin Smoak,Scooter Gennett,Brandon Drury,Didi Gregorius,Giancarlo Stanton,Bryce Harper,Aaron Judge,20180331,perfect_game,54847274,333,0
169,1055613749,Signature,44.2,NA,NA,0,0,James Paxton,Michael Wacha,Gary Sanchez,Josh Bell,Jose Altuve,Matt Chapman,Andrelton Simmons,Giancarlo Stanton,Aaron Judge,Billy McKinney,20180331,perfect_game,54847274,333,0
170,1055426638,Eddieron,34.7,NA,NA,0,0,Michael Wacha,Michael Fulmer,Gary Sanchez,Miguel Cabrera,Scooter Gennett,Adrian Beltre,Didi Gregorius,Giancarlo Stanton,Bryce Harper,Aaron Judge,20180331,perfect_game,54847274,333,0