Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
94,1063523552,fantasyfever,101.25,Paul Goldschmidt,1B,2.00,0,Charlie Morton,Jordan Montgomery,Welington Castillo,Justin Bour,Starlin Castro,Brian Anderson,Miguel Rojas,"Mookie Betts,Andrew Benintendi,Derek Dietrich"
95,1063561167,Wojo29,100.75,Joey Votto,1B,2.00,0,Mike Clevinger,Luke Weaver,Yan Gomes,Justin Bour,Jose Ramirez,Maikel Franco,Xander Bogaerts,"Rhys Hoskins,Michael Brantley,Odubel Herrera"
96,1063156165,scout326,100.55,Jose Peraza,SS,2.00,0,Jose Quintana,Eduardo Rodriguez,Yadier Molina,Hanley Ramirez,Eduardo Nunez,Rafael Devers,Xander Bogaerts,"Mookie Betts,Tommy Pham,Dexter Fowler"
97,1063261147,trebelg9,100.35,C.J. Cron,1B,2.00,16,Jose Quintana,Luke Weaver,Evan Gattis,Neil Walker,Jonathan Schoop,Alex Bregman,Manny Machado,"Aaron Judge,Mookie Betts,Ryan Braun"
98,1063277540,REDCOAT85,100.05,Taijuan Walker,P,2.00,14.5,Jake Arrieta,Eduardo Rodriguez,Willson Contreras,Trey Mancini,Neil Walker,Danny Valencia,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
99,1063109990,shawnzhan,99.35,Hernan Perez,OF,2.00,0,Jose Quintana,Luke Weaver,Willson Contreras,Jose Abreu,Jose Ramirez,Matt Davidson,Tim Anderson,"Aaron Judge,Avisail Garcia,Leury Garcia"
99,1063178727,m3deman,99.35,Scooter Gennett,2B,1.80,2,Jose Quintana,Luke Weaver,Willson Contreras,Matt Carpenter,Jonathan Schoop,Manny Machado,Xander Bogaerts,"Rhys Hoskins,J.D. Martinez,Trey Mancini"
101,1063554868,MIKERUSH10,99.3,Jesse Winker,OF,1.80,0,Jake Arrieta,Chase Anderson,Yan Gomes,Neil Walker,Yolmer Sanchez,Tim Beckham,Eduardo Nunez,"Rhys Hoskins,Aaron Judge,Niko Goodrum"
102,1063156166,scout326,99.2,Rafael Devers,3B,1.80,13,Charlie Morton,Jose Quintana,Austin Romine,Jose Abreu,Yoan Moncada,Jace Peterson,Ronald Torreyes,"Giancarlo Stanton,Brett Gardner,Avisail Garcia"
102,1063213500,reztes757,99.2,Francisco Cervelli,C,1.80,2,Charlie Morton,Taijuan Walker,Alex Avila,Paul Goldschmidt,Neil Walker,Daniel Descalso,Ketel Marte,"David Peralta,Josh Reddick,Brett Gardner"
104,1063309714,jeremyshow,98.75,Trevor Richards,P,1.80,1.6,Mike Clevinger,Jameson Taillon,Yadier Molina,Jose Abreu,Yoan Moncada,Matt Davidson,Daniel Robertson,"Tommy Pham,Kevin Kiermaier,Dexter Fowler"
105,1063108462,youdacao,98.55,Whit Merrifield,2B,1.60,3,Charlie Morton,Luke Weaver,Willson Contreras,Carlos Santana,Ben Zobrist,Alex Bregman,Addison Russell,"Kyle Schwarber,Albert Almora,Nick Williams"
105,1063274042,mariob888,98.55,Adam Duvall,OF,1.60,0,Jake Arrieta,Reynaldo Lopez,Manny Pina,Tyler Austin,Jonathan Schoop,Maikel Franco,Manny Machado,"Rhys Hoskins,Aaron Judge,Odubel Herrera"
105,1063530962,bquicksix,98.55,Yolmer Sanchez,3B,1.60,0,Charlie Morton,Luke Weaver,Max Stassi,Jesus Aguilar,Jose Altuve,Danny Valencia,Carlos Correa,"George Springer,Domingo Santana,Derek Fisher"
108,1063141029,jdoc74,98.05,Derek Fisher,OF,1.60,3,Tyler Mahle,Reynaldo Lopez,Yadier Molina,Tyler Austin,Jose Ramirez,Manny Machado,Addison Russell,"Mookie Betts,A.J. Pollock,Starling Marte"
109,1063386669,jontlevy,97.85,Mitch Moreland,1B,1.60,9,Jake Arrieta,Luke Weaver,Yan Gomes,Tyler Austin,Jose Ramirez,Maikel Franco,Francisco Lindor,"Aaron Judge,Brett Gardner,Michael Brantley"
110,1063134468,ineedmoney23,97.55,Jonathan Villar,2B,1.40,5,Charlie Morton,Luke Weaver,Manny Pina,Mitch Moreland,Neil Walker,Jace Peterson,Xander Bogaerts,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
111,1063275917,kingpuba33,97.5,Nicholas Castellanos,OF,1.40,0,Jake Arrieta,Jose Quintana,Yan Gomes,Matt Carpenter,Jose Ramirez,Danny Valencia,Francisco Lindor,"Andrew Benintendi,Marwin Gonzalez,Trey Mancini"
112,1063484879,marcf,97.39999,Miguel Cabrera,1B,1.40,2,Jameson Taillon,Reynaldo Lopez,Welington Castillo,Jose Abreu,Neil Walker,Jose Ramirez,Francisco Lindor,"Aaron Judge,Avisail Garcia,Nicky Delmonico"
113,1063467302,Awesemo,97.35,Leonys Martin,OF,1.40,15,Jose Quintana,Luke Weaver,Tucker Barnhart,Joey Votto,Scooter Gennett,Rafael Devers,Eduardo Nunez,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
114,1063171872,TheGrinder24,97.2,David Peralta,OF,1.40,19,Charlie Morton,Mike Fiers,Yadier Molina,Paul Goldschmidt,Jose Altuve,Mike Moustakas,Eduardo Nunez,"A.J. Pollock,Billy Hamilton,Dexter Fowler"
115,1063444908,Wreck-Havoc-22,96.95,Bryan Holaday,C,1.40,5,Mike Clevinger,Eduardo Rodriguez,Max Stassi,Edwin Encarnacion,Neil Walker,Miguel Andujar,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Niko Goodrum"
116,1063483458,Tommyg1979,96.6,Christian Vazquez,C,1.40,10,Eduardo Rodriguez,Reynaldo Lopez,Victor Caratini,Hanley Ramirez,Jose Ramirez,Miguel Andujar,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
117,1063477816,ehafner,96.55,Alex Avila,C,1.40,0,Jake Arrieta,Reynaldo Lopez,Willson Contreras,Carlos Santana,Cesar Hernandez,Kris Bryant,J.P. Crawford,"Rhys Hoskins,Ben Zobrist,Albert Almora"
117,1063508839,wilson1,96.55,Chase Anderson,P,1.40,9.3,Charlie Morton,Luke Weaver,Max Stassi,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Brett Gardner,Domingo Santana,Albert Almora"
117,1063530519,extoneagles,96.55,Jeimer Candelario,3B,1.40,0,Charlie Morton,Jameson Taillon,Victor Caratini,Matt Carpenter,Neil Walker,Kris Bryant,Manny Machado,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
120,1063517071,McJester,96.4,Starling Marte,OF,1.20,7,Reynaldo Lopez,Luke Weaver,Willson Contreras,Marwin Gonzalez,Scooter Gennett,Miguel Andujar,Carlos Correa,"Giancarlo Stanton,Aaron Judge,George Springer"
121,1062996448,ChipotleAddict,96.05,Tyler Naquin,OF,1.20,3,Jose Quintana,Reynaldo Lopez,Willson Contreras,Yonder Alonso,Ben Zobrist,Jose Ramirez,Francisco Lindor,"Kyle Schwarber,Tommy Pham,Michael Brantley"
122,1063253088,dandydon,95.55,Gregory Polanco,OF,1.20,19,Charlie Morton,Luke Weaver,Willson Contreras,Jesus Aguilar,Ben Zobrist,Kris Bryant,Addison Russell,"Ryan Braun,Domingo Santana,Albert Almora"
122,1063475091,thepickler,95.55,Miguel Rojas,SS,1.20,18,Eduardo Rodriguez,Mike Fiers,Willson Contreras,Carlos Santana,Ben Zobrist,Kris Bryant,Addison Russell,"Rhys Hoskins,Kyle Schwarber,Odubel Herrera"
124,1063184877,bryito12,95.35,Jason Heyward,OF,1.00,7,Jose Quintana,Luke Weaver,Francisco Cervelli,Tyler Austin,Neil Walker,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
125,1063232734,davewiff,95.2,Eugenio Suarez,3B,1.00,2,Charlie Morton,Jose Quintana,Bryan Holaday,Justin Bour,Neil Walker,Kris Bryant,Miguel Rojas,"Giancarlo Stanton,Derek Dietrich,Lewis Brinson"
126,1063435692,dahladino,94.9,Caleb Joseph,C,1.00,2,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Tyler Austin,Neil Walker,Kris Bryant,Addison Russell,"Giancarlo Stanton,Aaron Judge,Albert Almora"
126,1063435693,dahladino,94.9,Orlando Arcia,SS,1.00,0,Eduardo Rodriguez,Luke Weaver,Yan Gomes,Edwin Encarnacion,Neil Walker,Miguel Andujar,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
126,1063435694,dahladino,94.9,A.J. Pollock,OF,1.00,24,Eduardo Rodriguez,Luke Weaver,Yan Gomes,Neil Walker,Jason Kipnis,Miguel Andujar,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
129,1063404657,TheCrowsNest,94.45,Ketel Marte,SS,1.00,3,Jameson Taillon,Trevor Richards,Yadier Molina,Matt Davidson,Niko Goodrum,Christian Villanueva,Manny Machado,"Giancarlo Stanton,Aaron Judge,Mookie Betts"
129,1063477821,ehafner,94.45,Braxton Lee,OF,1.00,7,Mike Clevinger,Reynaldo Lopez,Austin Romine,Neil Walker,Jose Ramirez,Miguel Andujar,Francisco Lindor,"Giancarlo Stanton,Brett Gardner,Michael Brantley"
131,1063418250,bruiza,94.4,Jon Jay,OF,0.80,14,Reynaldo Lopez,Luke Weaver,Victor Caratini,Edwin Encarnacion,Neil Walker,Jose Ramirez,Xander Bogaerts,"Aaron Judge,Mookie Betts,J.D. Martinez"
132,1063498067,bobbyc0cktails,93.7,Kevin Kiermaier,OF,0.80,12,Jameson Taillon,Luke Weaver,Bryan Holaday,Marwin Gonzalez,Jose Altuve,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Braxton Lee"
133,1063142747,Bird77,93.55,Daniel Descalso,3B,0.80,0,Charlie Morton,Luke Weaver,Welington Castillo,Carlos Santana,Cesar Hernandez,Matt Davidson,Ronald Torreyes,"Rhys Hoskins,Odubel Herrera,Dexter Fowler"
134,1063240724,Vongole,93.35,Josh Bell,1B,0.80,5,Jose Quintana,Luke Weaver,Francisco Cervelli,Trey Mancini,Jonathan Schoop,Manny Machado,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Adam Jones"
135,1063568076,1967spike,93.25,Jordy Mercer,SS,0.80,7,Charlie Morton,Reynaldo Lopez,Max Stassi,Edwin Encarnacion,Ronald Torreyes,Kris Bryant,Carlos Correa,"Brett Gardner,Derek Fisher,Bradley Zimmer"
136,1063079623,TBAP,93.2,Tim Beckham,SS,0.80,12,Charlie Morton,Jose Quintana,Welington Castillo,Lucas Duda,Whit Merrifield,Mike Moustakas,Tim Anderson,"Nicholas Castellanos,Avisail Garcia,Jon Jay"
136,1063175932,moklovin,93.2,Josh Harrison,2B,0.80,10,Charlie Morton,Mike Fiers,Victor Caratini,Neil Walker,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Ryan Braun,Albert Almora"
138,1063266222,michael203,92.8,Eric Hosmer,1B,0.60,0,Jose Quintana,Chase Anderson,Francisco Cervelli,Trey Mancini,Jonathan Schoop,Jose Ramirez,Manny Machado,"Giancarlo Stanton,Gregory Polanco,Corey Dickerson"
139,1063561009,CoachS111,92.75,Starlin Castro,2B,0.60,8,Mike Clevinger,Luke Weaver,Evan Gattis,Mitch Moreland,Neil Walker,Danny Valencia,Carlos Correa,"Aaron Judge,George Springer,Dexter Fowler"
140,1063061516,rdk5042,92.7,Daniel Robertson,SS,0.60,19,Jameson Taillon,Luke Weaver,Jesus Sucre,Matt Carpenter,Jonathan Schoop,Manny Machado,Carlos Correa,"Giancarlo Stanton,George Springer,Brett Gardner"
141,1063577718,ryanmax,92.6,Alex Gordon,OF,0.40,3,Charlie Morton,Mike Clevinger,Victor Caratini,Mitch Moreland,Neil Walker,Alex Bregman,Tim Anderson,"Michael Brantley,Domingo Santana,Odubel Herrera"
142,1063253090,dandydon,92.55,Anthony Santander,OF,0.40,24,Charlie Morton,Luke Weaver,Willson Contreras,Jesus Aguilar,Ben Zobrist,Kris Bryant,Orlando Arcia,"Lorenzo Cain,Ryan Braun,Domingo Santana"
143,1063227195,BarOfSoap,92.35,Craig Gentry,OF,0.40,23,Jose Quintana,Luke Weaver,Austin Romine,Tyler Austin,Jose Altuve,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Brett Gardner,Derek Fisher"
144,1063307391,megladon,92.05,Christian Villanueva,3B,0.40,0,Tyler Mahle,Reynaldo Lopez,Max Stassi,Hanley Ramirez,Ronald Torreyes,Maikel Franco,Xander Bogaerts,"Rhys Hoskins,Mookie Betts,J.D. Martinez"
145,1063445708,yolegacy,91.55,Jose Iglesias,SS,0.40,0,Jose Quintana,Eduardo Rodriguez,Willson Contreras,Jose Martinez,Neil Walker,Kris Bryant,Xander Bogaerts,"Kyle Schwarber,Ben Zobrist,Albert Almora"
146,1063271155,BBoschetti,91.5,John Hicks,C,0.40,0,Jake Arrieta,Tyler Mahle,Willson Contreras,Carlos Santana,Ben Zobrist,Mike Moustakas,Xander Bogaerts,"Rhys Hoskins,Odubel Herrera,Leonys Martin"
147,1063579809,SamENole,91.39999,Brian Anderson,3B,0.40,13,Jameson Taillon,Jordan Montgomery,Victor Caratini,Tyler Austin,Neil Walker,Kris Bryant,Addison Russell,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
148,1063206633,reztes757,91.2,Didi Gregorius,SS,0.20,7,Charlie Morton,Taijuan Walker,Alex Avila,Jose Abreu,Yoan Moncada,Daniel Descalso,Ketel Marte,"A.J. Pollock,David Peralta,Nicky Delmonico"
149,1063302950,artgon2,91.05,Lewis Brinson,OF,0.20,0,Tyler Mahle,Reynaldo Lopez,Welington Castillo,Tyler Austin,Starlin Castro,Manny Machado,Xander Bogaerts,"Aaron Judge,Starling Marte,Josh Reddick"
150,1063196207,ubrcuilnsa,90.75,Brad Miller,2B,0.20,7,Charlie Morton,Eduardo Rodriguez,Christian Vazquez,Carlos Santana,Jace Peterson,Maikel Franco,Xander Bogaerts,"Rhys Hoskins,Odubel Herrera,Nick Williams"
151,1063108457,youdacao,90.35,Ian Happ,OF,0.20,0,Jameson Taillon,Jose Quintana,Welington Castillo,Matt Davidson,Jonathan Schoop,Kris Bryant,Manny Machado,"Avisail Garcia,Nicky Delmonico,Leury Garcia"
151,1063108466,youdacao,90.35,Jorge Soler,OF,0.20,11,Jose Quintana,Luke Weaver,Caleb Joseph,Trey Mancini,Jonathan Schoop,Kris Bryant,Manny Machado,"Giancarlo Stanton,Adam Jones,Albert Almora"
151,1063226107,davewiff,90.35,Adeiny Hechavarria,SS,0.20,5,Jose Quintana,Luke Weaver,Willson Contreras,Jose Abreu,Yoan Moncada,Kris Bryant,Addison Russell,"Kyle Schwarber,Avisail Garcia,Ben Zobrist"
151,1063554462,squirrelpatroldk,90.35,Manuel Margot,OF,0.20,8,Jose Quintana,Luke Weaver,Welington Castillo,Jose Abreu,Neil Walker,Matt Davidson,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
155,1063477813,ehafner,90.05,Austin Hedges,C,0.20,2,Jose Quintana,Reynaldo Lopez,Willson Contreras,Edwin Encarnacion,Jose Ramirez,Kris Bryant,Francisco Lindor,"Michael Brantley,Albert Almora,Bradley Zimmer"
156,1063070448,MESBRO,89.9,Kolten Wong,2B,0.20,8,Eduardo Rodriguez,Luke Weaver,Yadier Molina,Carlos Santana,Cesar Hernandez,Maikel Franco,Carlos Correa,"Rhys Hoskins,Aaron Judge,Odubel Herrera"
157,1063280254,REDCOAT85,89.7,Rob Refsnyder,OF,0.20,4,Charlie Morton,Jake Arrieta,Austin Romine,Matt Carpenter,Jonathan Villar,Jace Peterson,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Domingo Santana"
157,1063517323,shanksalot,89.7,Colin Moran,3B,0.20,6,Charlie Morton,Jake Arrieta,Willson Contreras,Matt Carpenter,Kolten Wong,Kris Bryant,Paul DeJong,"Marcell Ozuna,Dexter Fowler,Craig Gentry"
159,1063115428,madoublet98,89.35,,,,,Jose Quintana,Luke Weaver,Willson Contreras,Trey Mancini,Neil Walker,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Brett Gardner,Domingo Santana"
159,1063277546,REDCOAT85,89.35,,,,,Jose Quintana,Luke Weaver,Evan Gattis,Carlos Santana,Cesar Hernandez,Kris Bryant,Carlos Correa,"Rhys Hoskins,Odubel Herrera,Nick Williams"
159,1063467308,Awesemo,89.35,,,,,Jose Quintana,Luke Weaver,Willson Contreras,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Kyle Schwarber,Ben Zobrist,Tyler Naquin"
162,1063435699,dahladino,88.85,,,,,Jake Arrieta,Luke Weaver,Yan Gomes,Yonder Alonso,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Rhys Hoskins,Odubel Herrera,Nick Williams"
163,1063549763,englishpea,88.55,,,,,Jake Arrieta,Jordan Montgomery,Willson Contreras,Carlos Santana,Josh Harrison,Kris Bryant,Jordy Mercer,"Rhys Hoskins,Odubel Herrera,Ben Zobrist"
164,1063024484,papagates,88,,,,,Jose Quintana,Mike Fiers,Willson Contreras,Miguel Cabrera,Whit Merrifield,Kris Bryant,Addison Russell,"Kyle Schwarber,Nicholas Castellanos,Leonys Martin"
165,1063126470,Biesterfield,87.9,,,,,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Lucas Duda,Neil Walker,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Mookie Betts,Michael Brantley"
165,1063277547,REDCOAT85,87.9,,,,,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Ryan Braun,Ben Zobrist,Kris Bryant,Francisco Lindor,"Aaron Judge,Lorenzo Cain,Domingo Santana"
167,1063543056,goudsaab,87.75,,,,,Mike Clevinger,Luke Weaver,Bryan Holaday,Carlos Santana,Cesar Hernandez,Jose Ramirez,Francisco Lindor,"Rhys Hoskins,Odubel Herrera,Nick Williams"
168,1063104269,cheeseisgood,87.55,,,,,Charlie Morton,Luke Weaver,Andrew Knapp,Jose Abreu,Cesar Hernandez,Mike Moustakas,J.P. Crawford,"Rhys Hoskins,J.D. Martinez,Avisail Garcia"
168,1063236232,Yepyeppers,87.55,,,,,Jake Arrieta,Jordan Montgomery,Austin Romine,Carlos Santana,Cesar Hernandez,Maikel Franco,Carlos Correa,"Rhys Hoskins,Gregory Polanco,Odubel Herrera"
168,1063486364,yolegacy,87.55,,,,,Charlie Morton,Luke Weaver,Tucker Barnhart,Neil Walker,Jose Altuve,Jace Peterson,Carlos Correa,"George Springer,Josh Reddick,Adam Duvall"
168,1063523549,fantasyfever,87.55,,,,,Jake Arrieta,Jordan Montgomery,Max Stassi,Mitch Moreland,Jason Kipnis,Rafael Devers,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Corey Dickerson"
168,1063554511,squirrelpatroldk,87.55,,,,,Charlie Morton,Luke Weaver,Welington Castillo,Justin Bour,Jonathan Schoop,Matt Davidson,Ronald Torreyes,"Rhys Hoskins,J.D. Martinez,Trey Mancini"
173,1063438192,tinderella,87.4,,,,,Mike Clevinger,Jose Quintana,Willson Contreras,Matt Carpenter,Ben Zobrist,Kris Bryant,Addison Russell,"Tommy Pham,Albert Almora,Dexter Fowler"
173,1063485553,kfalik,87.4,,,,,Jordan Montgomery,Luke Weaver,Willson Contreras,Tyler Austin,Neil Walker,Kris Bryant,Xander Bogaerts,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
175,1063416652,m3deman,87.35,,,,,Jose Quintana,Luke Weaver,Christian Vazquez,Matt Carpenter,Cesar Hernandez,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Dexter Fowler"
176,1063078851,malburgis,87.1,,,,,Reynaldo Lopez,Jordan Montgomery,Willson Contreras,Matt Davidson,Neil Walker,Kris Bryant,Francisco Lindor,"Aaron Judge,David Peralta,Avisail Garcia"
177,1063151743,Ebonwraith,86.89999,,,,,Jameson Taillon,Eduardo Rodriguez,Welington Castillo,Jose Abreu,Jose Ramirez,Daniel Descalso,Paul DeJong,"Rhys Hoskins,Brett Gardner,Niko Goodrum"
178,1063191435,bryito12,86.75,,,,,Charlie Morton,Eduardo Rodriguez,Victor Caratini,Daniel Descalso,Neil Walker,Miguel Andujar,Addison Russell,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
179,1063471456,ragingphilip,86.55,,,,,Charlie Morton,Luke Weaver,Willson Contreras,Justin Bour,Derek Dietrich,Kris Bryant,Addison Russell,"Kyle Schwarber,Albert Almora,Nicky Delmonico"
180,1063156170,scout326,86.5,,,,,Jake Arrieta,Jose Quintana,Willson Contreras,Matt Carpenter,Ben Zobrist,Kris Bryant,Paul DeJong,"Marcell Ozuna,Tommy Pham,Albert Almora"
181,1063115437,madoublet98,86.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Trey Mancini,Neil Walker,Kris Bryant,Manny Machado,"Giancarlo Stanton,Aaron Judge,Domingo Santana"
182,1063206634,reztes757,86.2,,,,,Charlie Morton,Taijuan Walker,Alex Avila,Carlos Santana,Neil Walker,Maikel Franco,Ketel Marte,"Rhys Hoskins,Odubel Herrera,Nick Williams"
183,1063538451,DraftCheat,86.1,,,,,Reynaldo Lopez,Jordan Montgomery,Willson Contreras,Jose Martinez,Ben Zobrist,Kris Bryant,Addison Russell,"Rhys Hoskins,Kyle Schwarber,Gregory Polanco"
184,1063039036,IamPGM,85.55,,,,,Charlie Morton,Luke Weaver,Victor Caratini,Carlos Santana,Jace Peterson,Kris Bryant,Tim Anderson,"Giancarlo Stanton,Brett Gardner,Avisail Garcia"
184,1063054382,giantsquid,85.55,,,,,Jose Quintana,Eduardo Rodriguez,Willson Contreras,Yonder Alonso,Jose Ramirez,Kris Bryant,Francisco Lindor,"Michael Brantley,Albert Almora,Bradley Zimmer"
184,1063512740,Ebone17,85.55,,,,,Charlie Morton,Luke Weaver,Tucker Barnhart,Matt Carpenter,Neil Walker,Jose Ramirez,Francisco Lindor,"Aaron Judge,Brett Gardner,Dexter Fowler"
187,1063477812,ehafner,85.45,,,,,Mike Clevinger,Reynaldo Lopez,Willson Contreras,Matt Carpenter,Ben Zobrist,Kris Bryant,Addison Russell,"Marcell Ozuna,Tommy Pham,Albert Almora"
188,1063452416,yolegacy,84.9,,,,,Eduardo Rodriguez,Luke Weaver,Tucker Barnhart,Hanley Ramirez,Neil Walker,Alex Bregman,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
189,1063032834,IamPGM,84.85,,,,,Jake Arrieta,Luke Weaver,Willson Contreras,Lucas Duda,Neil Walker,Kris Bryant,Manny Machado,"Kyle Schwarber,Lorenzo Cain,Brett Gardner"
