Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Player,RosterPosition,PercentDrafted,FTPS,EntryFee,Winnings
83,1055471453,brpunkrmax,0,102.05,P Lance McCullers Jr. P Luis Castillo OF Giancarlo Stanton 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman 1B Luis Valbuena OF Billy McKinney,Stephen Piscotty,OF,1.18,7.0,333,0
84,1055624618,anilprao88 (5/5),0,100.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge OF George Springer SS Marwin González C Evan Gattis 2B Neil Walker 3B J.D. Davis 1B Tyler Austin,Matt Chapman,3B,1.18,12.0,333,0
85,1055362277,ChipotleAddict (3/5),0,100.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B J.D. Davis 1B Tyler Austin,Adam Frazier,2B,1.18,0.0,333,0
86,1055608561,Moogie (2/2),0,99.85,P Stephen Strasburg P Trevor Williams OF Bryce Harper 2B José Altuve OF George Springer 3B Alex Bregman OF Jay Bruce SS Marwin González C Matt Wieters 1B Matt Adams,Dexter Fowler,OF,1.18,0.0,333,0
87,1055389661,moklovin (3/3),0,99.8,P Jacob deGrom P Luis Castillo OF Mike Trout C Gary Sánchez OF Justin Upton 2B Ian Kinsler 1B Joey Gallo SS Elvis Andrus 3B Adrián Beltré OF Shin-soo Choo,René Rivera,C,1.18,12.0,333,0
87,1055521914,monds6 (1/5),0,99.8,P Jacob deGrom P Luis Castillo 2B José Altuve OF George Springer OF Khris Davis 1B Matt Olson OF Marwin González C Evan Gattis SS Aledmys Díaz 3B J.D. Davis,Nicholas Castellanos,OF,1.18,0.0,333,0
89,1055313241,tastefultides (4/5),0,99.6,P Jacob deGrom P Stephen Strasburg 3B Josh Donaldson OF Marwin González SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce C Juan Centeno,Corey Dickerson,OF,1.18,0.0,333,0
90,1055645049,extoneagles (1/5),0,99.0,P Lance McCullers Jr. P Michael Fulmer OF Giancarlo Stanton OF Aaron Judge 2B José Altuve SS Francisco Lindor 3B José Ramírez 1B Matt Adams C Yan Gomes OF Rajai Davis,Rougned Odor,2B,0.59,0.0,333,0
91,1055431348,Moogie (1/2),0,98.55,P James Paxton P CC Sabathia OF Giancarlo Stanton SS Trea Turner 2B José Altuve OF George Springer 3B Josh Donaldson OF Kole Calhoun C Evan Gattis 1B Albert Pujols,Eugenio Suárez,3B,0.59,21.0,333,0
92,1055308759,EmpireMaker2,0,98.45,P Jacob deGrom P Michael Wacha OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce,Nelson Cruz,OF,0.59,16.0,333,0
93,1055643208,mrgoodseats (4/5),0,98.35,P Stephen Strasburg P James Paxton 2B José Altuve OF George Springer 3B Alex Bregman SS Elvis Andrus 1B Justin Smoak OF Dee Gordon OF Matt Joyce C Mike Marjama,Robinson Canó,2B,0.59,15.0,333,0
94,1055326153,Biesterfield,0,98.2,P James Paxton P Michael Wacha OF Giancarlo Stanton 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis OF Steve Pearce 1B Matt Adams,Jean Segura,SS,0.59,5.0,333,0
95,1055399107,freddieprincstyl,0,98.0,P Matt Shoemaker P CC Sabathia OF Giancarlo Stanton OF Bryce Harper OF Aaron Judge SS Trea Turner 3B José Ramírez 2B Howie Kendrick 1B Justin Smoak C Brian McCann,Marco Estrada,P,0.59,9.55,333,0
96,1055511035,BFER14 (1/2),0,97.5,P Lance McCullers Jr. P James Paxton OF Mike Trout SS Carlos Correa C Gary Sánchez 1B Matt Olson OF Kole Calhoun 2B Jed Lowrie OF Matt Joyce 3B J.D. Davis,Jordy Mercer,SS,0.59,0.0,333,0
97,1055483258,crump11 (3/3),0,97.35,P Stephen Strasburg P James Paxton OF Mike Trout OF Khris Davis 1B Matt Olson SS Didi Gregorius C Brian McCann 2B Jed Lowrie OF Matt Joyce 3B J.D. Davis,Adam Duvall,OF,0.59,18.0,333,0
98,1055559925,HeHaithMe,0,97.25,P Jacob deGrom P James Paxton OF Aaron Judge SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce,Starling Marte,OF,0.59,0.0,333,0
99,1055567289,halliam1114,0,97.2,P James Paxton P Michael Wacha OF Mike Trout 3B Alex Bregman OF Justin Upton OF Khris Davis 1B Matt Olson SS Zack Cozart C Evan Gattis 2B Howie Kendrick,Josh Harrison,2B,0.59,0.0,333,0
100,1055364860,thepickler (2/5),0,96.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Mike Trout 2B José Altuve OF George Springer C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak,Francisco Cervelli,C,0.59,0.0,333,0
101,1055644236,eck2b,0,95.35,P Stephen Strasburg P James Paxton 2B José Altuve OF George Springer OF Tommy Pham SS Didi Gregorius C Evan Gattis OF Leonys Martin 3B J.D. Davis 1B Matt Adams,Juan Lagares,OF,0.59,8.0,333,0
101,1055653987,bigsam92,0,95.35,P Stephen Strasburg P James Paxton 2B José Altuve OF George Springer OF Tommy Pham SS Didi Gregorius C Evan Gattis OF Leonys Martin 3B J.D. Davis 1B Matt Adams,Marcell Ozuna,OF,0.59,0.0,333,0
103,1055424412,sirmalcolm,0,95.25,P Jacob deGrom P James Paxton 2B José Altuve OF George Springer 3B Alex Bregman SS Marwin González C Evan Gattis OF Matt Joyce 1B Matt Adams OF Billy McKinney,Matt Carpenter,1B,0.59,14.0,333,0
104,1055316014,felder15 (2/3),0,94.85,P Stephen Strasburg P Lance McCullers Jr. C Gary Sánchez OF Khris Davis 1B Matt Olson SS Marcus Semien 3B Brandon Drury 2B Jed Lowrie OF Randal Grichuk OF Billy McKinney,Trevor Williams,P,0.59,0.0,333,0
105,1055485965,sacamania (1/2),0,94.4,P Stephen Strasburg P Carlos Carrasco OF Khris Davis 1B Matt Olson 3B Josh Donaldson SS Marcus Semien 2B Jed Lowrie OF Matt Joyce C Travis d'Arnaud OF Steve Pearce,Josh Bell,1B,0.59,0.0,333,0
106,1055547878,loveai,0,93.7,P Michael Wacha P Michael Fulmer OF Mike Trout 2B José Altuve SS Carlos Correa 1B Joey Votto 3B Anthony Rendon OF Kole Calhoun C Evan Gattis OF Dexter Fowler,Andrelton Simmons,SS,0.59,5.0,333,0
107,1055645053,extoneagles (5/5),0,93.05,P Lance McCullers Jr. P CC Sabathia OF Giancarlo Stanton OF Bryce Harper OF Aaron Judge 3B Alex Bregman SS Didi Gregorius C Evan Gattis 2B Neil Walker 1B Matt Adams,Scott Schebler,OF,0.59,21.0,333,0
108,1055557527,Awesemo (3/5),0,92.25,P Carlos Carrasco P Michael Wacha 2B José Altuve OF George Springer SS Carlos Correa 1B Joey Gallo OF Nomar Mazara C Brian McCann OF Shin-soo Choo 3B J.D. Davis,Francisco Lindor,SS,0.59,3.0,333,0
109,1055313231,tastefultides (3/5),0,90.35,P Stephen Strasburg P James Paxton OF Giancarlo Stanton C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Matt Adams,Brian Goodwin,OF,0.59,25.0,333,0
110,1055270797,dandydon (2/3),0,89.6,P Carlos Carrasco P Luis Castillo 2B José Altuve OF George Springer 3B Alex Bregman OF Khris Davis 1B Matt Olson OF Marwin González C Evan Gattis SS Marcus Semien,NA,NA,NA,0,333,0
111,1055314202,knickgilman,0,89.55,P James Paxton P Luis Castillo OF Aaron Judge 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman OF Marwin González 1B Justin Smoak,NA,NA,NA,0,333,0
111,1055636476,stlcardinals84,0,89.55,P James Paxton P Luis Castillo OF Aaron Judge 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman OF Marwin González 1B Justin Smoak,NA,NA,NA,0,333,0
113,1055642813,NateGreat28,0,89.4,P Stephen Strasburg P Carlos Carrasco OF Giancarlo Stanton 1B Joey Gallo SS Elvis Andrus OF Kole Calhoun 2B Neil Walker 3B J.D. Davis OF Matt Adams C Juan Centeno,NA,NA,NA,0,333,0
114,1055581590,Stonesalltheway (1/2),0,89.25,P Jacob deGrom P James Paxton 3B Alex Bregman OF Khris Davis 1B Matt Olson C Evan Gattis SS Marcus Semien 2B Jed Lowrie OF Matt Joyce OF Matt Adams,NA,NA,NA,0,333,0
115,1055372409,reztes757,0,89.2,P James Paxton P Michael Wacha 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Khris Davis 1B Matt Olson C Evan Gattis OF Steve Pearce,NA,NA,NA,0,333,0
115,1055405392,TBAP,0,89.2,P James Paxton P Michael Wacha OF Giancarlo Stanton OF Bryce Harper C Gary Sánchez 3B Anthony Rendon OF Adam Eaton SS Didi Gregorius 2B Neil Walker 1B Matt Adams,NA,NA,NA,0,333,0
115,1055624616,anilprao88 (3/5),0,89.2,P James Paxton P Michael Wacha OF Giancarlo Stanton OF Bryce Harper C Gary Sánchez 3B Anthony Rendon OF Adam Eaton SS Didi Gregorius 2B Neil Walker 1B Matt Adams,NA,NA,NA,0,333,0
118,1055367396,youdacao (2/5),0,88.25,P Jacob deGrom P James Paxton OF Giancarlo Stanton OF George Springer C Gary Sánchez 3B Alex Bregman 2B Neil Walker 1B Tyler Austin SS Yangervis Solarte OF Billy McKinney,NA,NA,NA,0,333,0
119,1055608329,Signature (1/3),0,86.7,P Lance McCullers Jr. P Michael Wacha 2B José Altuve OF George Springer C Gary Sánchez 3B Alex Bregman 1B Matt Olson SS Zack Cozart OF Matt Joyce OF Billy McKinney,NA,NA,NA,0,333,0
120,1055643209,mrgoodseats (5/5),0,86.35,P Stephen Strasburg P James Paxton 2B José Altuve OF George Springer 3B Alex Bregman SS Marwin González 1B Justin Smoak OF Dee Gordon OF Matt Joyce C Mike Marjama,NA,NA,NA,0,333,0
121,1055558952,cohenspicks,0,86.2,P James Paxton P Michael Wacha 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman OF Marwin González 1B Justin Smoak OF Steve Pearce,NA,NA,NA,0,333,0
122,1055608227,getoffme2312,0,84.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton 2B José Altuve 3B Alex Bregman 1B Matt Olson SS Didi Gregorius C Evan Gattis OF Randal Grichuk OF Steve Pearce,NA,NA,NA,0,333,0
123,1055270796,dandydon (1/3),0,84.6,P Carlos Carrasco P Luis Castillo 2B José Altuve OF George Springer 3B Alex Bregman OF Khris Davis 1B Matt Olson SS Marwin González C Evan Gattis OF Matt Joyce,NA,NA,NA,0,333,0
124,1055326490,ebeimfohr,0,84.55,P James Paxton P Luis Castillo OF Giancarlo Stanton 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman OF Marwin González 1B Luis Valbuena,NA,NA,NA,0,333,0
125,1055645917,BFER14 (2/2),0,84.5,P Lance McCullers Jr. P James Paxton OF Mike Trout C Gary Sánchez 1B Matt Olson SS Zack Cozart 2B Ian Kinsler OF Kole Calhoun OF Matt Joyce 3B J.D. Davis,NA,NA,NA,0,333,0
126,1055541623,ShortMyOwnTeam (1/2),0,83.55,P James Paxton P Luis Castillo 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman OF Khris Davis 1B Matt Olson OF Kole Calhoun,NA,NA,NA,0,333,0
126,1055541635,ShortMyOwnTeam (2/2),0,83.55,P James Paxton P Luis Castillo 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman OF Khris Davis 1B Matt Olson OF Kole Calhoun,NA,NA,NA,0,333,0
128,1055341531,yankeesfan2,0,83.45,P Jacob deGrom P Michael Wacha OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez SS Elvis Andrus 3B Brandon Drury 2B Dixon Machado 1B Matt Adams OF Billy McKinney,NA,NA,NA,0,333,0
129,1055320276,dacoltz,0,83.25,P Jacob deGrom P James Paxton OF George Springer 3B Alex Bregman 1B Joey Gallo SS Marwin González 2B Rougned Odor C Brian McCann OF Randal Grichuk OF Jake Marisnick,NA,NA,NA,0,333,0
129,1055558172,leonem,0,83.25,P Jacob deGrom P James Paxton OF Aaron Judge SS Carlos Correa C Gary Sánchez 3B Josh Donaldson 1B Justin Smoak 2B Neil Walker OF Steve Pearce OF Billy McKinney,NA,NA,NA,0,333,0
131,1055331921,rdk5042,0,82.35,P Stephen Strasburg P James Paxton OF Bryce Harper 2B José Altuve OF George Springer 3B Alex Bregman SS Aledmys Díaz OF Steve Pearce 1B Matt Adams C Mike Marjama,NA,NA,NA,0,333,0
132,1055389660,moklovin (2/3),0,81.35,P Stephen Strasburg P James Paxton OF Giancarlo Stanton OF Aaron Judge 3B Alex Bregman SS Marwin González C Brian McCann 2B Neil Walker 1B Matt Adams OF Billy McKinney,NA,NA,NA,0,333,0
133,1055645168,GrindersCal (1/2),0,80.6,P Jacob deGrom P Stephen Strasburg 1B Miguel Cabrera OF Corey Dickerson 3B Josh Donaldson SS Aledmys Díaz OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte C Mike Marjama,NA,NA,NA,0,333,0
134,1055360797,thegameOVER,0,80.35,P Stephen Strasburg P James Paxton OF Giancarlo Stanton C Gary Sánchez OF Kole Calhoun SS Didi Gregorius 1B Justin Smoak 3B Brandon Drury 2B Neil Walker OF Matt Adams,NA,NA,NA,0,333,0
134,1055643206,mrgoodseats (2/5),0,80.35,P Stephen Strasburg P James Paxton 2B José Altuve OF George Springer 3B Alex Bregman OF Joey Gallo SS Marwin González 1B Justin Smoak OF Steve Pearce C Mike Marjama,NA,NA,NA,0,333,0
136,1055575248,Bianchibear03,0,78.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak 2B Scooter Gennett OF Steve Pearce,NA,NA,NA,0,333,0
137,1055643207,mrgoodseats (3/5),0,77.35,P Stephen Strasburg P James Paxton 2B José Altuve OF George Springer 3B Alex Bregman SS Zack Cozart 1B Joey Gallo OF Matt Joyce OF Steve Pearce C Mike Marjama,NA,NA,NA,0,333,0
138,1055394734,adambrown24,0,76.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B José Altuve SS Carlos Correa C Gary Sánchez OF Joey Gallo 1B Justin Smoak 3B Kyle Seager,NA,NA,NA,0,333,0
139,1055494794,etphonehome,0,75.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk,NA,NA,NA,0,333,0
139,1055510315,davewiff (3/4),0,75.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk,NA,NA,NA,0,333,0
139,1055521915,monds6 (2/5),0,75.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk,NA,NA,NA,0,333,0
139,1055595544,bric75 (4/4),0,75.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk,NA,NA,NA,0,333,0
143,1055645051,extoneagles (3/5),0,75.75,P Michael Wacha P CC Sabathia OF Giancarlo Stanton OF Aaron Judge 2B José Altuve OF George Springer C Gary Sánchez 3B Alex Bregman SS Didi Gregorius 1B Matt Adams,NA,NA,NA,0,333,0
144,1055367398,youdacao (4/5),0,75.6,P Carlos Carrasco P Luis Castillo OF Giancarlo Stanton OF George Springer SS Carlos Correa C Gary Sánchez 1B Joey Gallo OF Marwin González 2B Neil Walker 3B J.D. Davis,NA,NA,NA,0,333,0
145,1055483226,crump11 (2/3),0,75.35,P Stephen Strasburg P James Paxton OF George Springer OF Khris Davis 1B Matt Olson SS Didi Gregorius C Evan Gattis 2B Jed Lowrie OF Matt Joyce 3B J.D. Davis,NA,NA,NA,0,333,0
146,1055637314,elstan11,0,73.05,P Carlos Carrasco P James Paxton OF Mike Trout C Gary Sánchez OF Khris Davis 1B Miguel Cabrera 3B Josh Donaldson SS Didi Gregorius 2B Scooter Gennett OF Billy McKinney,NA,NA,NA,0,333,0
147,1055548373,tomo73,0,71.6,P Carlos Carrasco P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B José Ramírez C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak OF Adam Duvall,NA,NA,NA,0,333,0
148,1055362278,ChipotleAddict (4/5),0,71.25,P Jacob deGrom P James Paxton OF Giancarlo Stanton C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce,NA,NA,NA,0,333,0
149,1055638421,Blitztomania,0,70.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B J.D. Davis 1B John Hicks,NA,NA,NA,0,333,0
150,1055632701,Boney10690,0,70.35,P Stephen Strasburg P James Paxton OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Alex Bregman 2B Neil Walker 1B Matt Adams SS Yangervis Solarte OF Billy McKinney,NA,NA,NA,0,333,0
151,1055593031,mazwa,0,70.05,P Carlos Carrasco P James Paxton 2B José Altuve 3B Alex Bregman OF Marcell Ozuna SS Marwin González OF Tommy Pham 1B Matt Carpenter C Evan Gattis OF Dexter Fowler,NA,NA,NA,0,333,0
152,1055516478,jlavelle,0,69.55,P Stephen Strasburg P Michael Wacha OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez SS Didi Gregorius 2B Jed Lowrie 3B J.D. Davis OF Steve Pearce 1B Matt Adams,NA,NA,NA,0,333,0
153,1055407191,ARaven52,0,68.75,P Michael Wacha P Luis Castillo OF Giancarlo Stanton OF Bryce Harper OF Aaron Judge 2B José Altuve C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak,NA,NA,NA,0,333,0
154,1055613719,Signature (2/3),0,67.5,P Lance McCullers Jr. P James Paxton OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 1B Matt Olson SS Zack Cozart 2B Neil Walker 3B J.D. Davis OF Billy McKinney,NA,NA,NA,0,333,0
155,1055483198,crump11 (1/3),0,66.35,P Stephen Strasburg P James Paxton OF Aaron Judge OF Khris Davis 1B Matt Olson SS Didi Gregorius C Evan Gattis 2B Jed Lowrie OF Matt Joyce 3B J.D. Davis,NA,NA,NA,0,333,0
156,1055310933,EMSBRO,0,65.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Mike Trout OF Aaron Judge C Gary Sánchez 1B Joey Votto 3B Todd Frazier SS Didi Gregorius 2B Neil Walker,NA,NA,NA,0,333,0
157,1055621565,atnorac,0,64.25,P Carlos Carrasco P Michael Wacha OF Aaron Judge C Gary Sánchez 3B Alex Bregman SS Zack Cozart OF Tommy Pham OF Adam Frazier 1B Justin Smoak 2B Jed Lowrie,NA,NA,NA,0,333,0
158,1055522600,Hamre,0,63.4,P Stephen Strasburg P Carlos Carrasco OF Jay Bruce 3B Jeimer Candelario OF Marwin González 2B Adam Frazier 1B Justin Smoak OF Leonys Martin SS Jordy Mercer C John Hicks,NA,NA,NA,0,333,0
159,1055283516,bigdshaggyj,0,63.05,P Carlos Carrasco P James Paxton OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak OF Steve Pearce 2B Yangervis Solarte,NA,NA,NA,0,333,0
160,1055405579,jsurab,0,62.75,P Michael Wacha P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B José Altuve C Gary Sánchez 3B Alex Bregman OF Khris Davis SS Didi Gregorius 1B José Martínez,NA,NA,NA,0,333,0
161,1055370641,thepickler (3/5),0,62.5,P Carlos Carrasco P Matt Shoemaker OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Josh Donaldson OF Joey Gallo SS Didi Gregorius 1B Justin Smoak 2B Neil Walker,NA,NA,NA,0,333,0
162,1055645052,extoneagles (4/5),0,60.55,P James Paxton P CC Sabathia OF Giancarlo Stanton OF Bryce Harper OF Aaron Judge C Gary Sánchez 3B Anthony Rendon SS Didi Gregorius 2B Neil Walker 1B Matt Adams,NA,NA,NA,0,333,0
163,1055624615,anilprao88 (2/5),0,60.05,P Carlos Carrasco P James Paxton OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Josh Donaldson 1B Justin Smoak 2B Neil Walker OF Steve Pearce SS Yangervis Solarte,NA,NA,NA,0,333,0
164,1055531743,thepickler (5/5),0,58.2,P James Paxton P Michael Wacha OF Giancarlo Stanton OF Aaron Judge 2B José Altuve C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak OF Steve Pearce,NA,NA,NA,0,333,0
165,1055567492,chichi19,0,54.9,P Stephen Strasburg P Luis Castillo OF Starling Marte 1B Miguel Cabrera OF Nicholas Castellanos SS Zack Cozart OF Corey Dickerson 2B Josh Harrison 3B Jeimer Candelario C Francisco Cervelli,NA,NA,NA,0,333,0
166,1055543500,Grandpaaj23,0,54.65,P Michael Wacha P Daniel Mengden OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez 3B Anthony Rendon OF Khris Davis 1B Matt Olson SS Didi Gregorius 2B Scooter Gennett,NA,NA,NA,0,333,0
167,1055600058,bbates1984,0,52.6,P Jacob deGrom P Stephen Strasburg 1B Miguel Cabrera OF Nicholas Castellanos 3B Jeimer Candelario OF Leonys Martin 2B Neil Walker SS Dixon Machado C Juan Centeno OF Billy McKinney,NA,NA,NA,0,333,0
168,1055313226,tastefultides (2/5),0,47.2,P James Paxton P Michael Wacha OF Giancarlo Stanton OF Bryce Harper OF Aaron Judge C Gary Sánchez SS Didi Gregorius 1B Justin Smoak 3B Brandon Drury 2B Scooter Gennett,NA,NA,NA,0,333,0
169,1055613749,Signature (3/3),0,44.2,P James Paxton P Michael Wacha OF Giancarlo Stanton OF Aaron Judge 2B José Altuve C Gary Sánchez 1B Josh Bell 3B Matt Chapman SS Andrelton Simmons OF Billy McKinney,NA,NA,NA,0,333,0
170,1055426638,Eddieron,0,34.7,P Michael Wacha P Michael Fulmer OF Giancarlo Stanton OF Bryce Harper OF Aaron Judge C Gary Sánchez 1B Miguel Cabrera SS Didi Gregorius 3B Adrián Beltré 2B Scooter Gennett,NA,NA,NA,0,333,0
